SITE_ID,NEW_AREA_NAME,SITE_RANKED_NGR,SITE_RANKED_EASTING,SITE_RANKED_NORTHING,N_SURVEYS,FIRST_SURVEY,LAST_SURVEY
14273,Yorkshire,SE1411812692,414118,412692,5,07/09/2000,26/09/2005
50124,Northumbria,NZ1848030749,418480,530749,1,22/08/2013,22/08/2013
60583,Devon and Cornwall,SX0367952541,203679,52541,1,26/09/2014,26/09/2014
54623,Cambridgeshire and Bedfordshire,TL0094858627,500948,258627,1,21/01/2014,21/01/2014
37201,Greater Manchester Merseyside and Cheshire,SJ6812788915,368127,388915,1,19/10/2010,19/10/2010
24765,Northumbria,NY6610097100,366100,597100,5,07/08/2006,21/06/2023
9349,Staffordshire Warwickshire and West Midlands,SK1119804980,411198,304980,1,14/01/2003,14/01/2003
30986,Cumbria and Lancashire,SD6236997812,362369,497812,5,24/06/1981,16/07/1985
32173,Lincolnshire and Northamptonshire,TF1679807331,516798,307331,1,18/11/2008,18/11/2008
5642,West Thames,TQ0546558476,505465,158476,6,20/05/2002,07/07/2008
6565,Essex Norfolk and Suffolk,TM4220076500,642200,276500,1,12/09/2001,12/09/2001
25230,Devon and Cornwall,SW6932032580,169320,32580,1,01/09/1986,01/09/1986
25297,Devon and Cornwall,SW7857046660,178570,46660,1,09/07/1986,09/07/1986
80765,Northumbria,NZ0553136869,405531,536869,1,04/10/2024,04/10/2024
10266,Greater Manchester Merseyside and Cheshire,SJ9693390666,396933,390666,2,10/04/2003,29/09/2022
33758,Devon and Cornwall,SS9269631520,292696,131520,1,18/09/2009,18/09/2009
6351,West Thames,SP4766338976,447663,238976,17,25/06/2002,07/06/2018
70363,Shropshire Herefordshire Worcestershire and Gloucestershire,SO4140066029,341400,266029,1,20/09/2017,20/09/2017
4559,Cambridgeshire and Bedfordshire,SP6568826917,465688,226917,5,20/05/1988,03/06/2010
19300,Devon and Cornwall,SW9237071420,192370,71420,8,10/07/1985,05/10/2018
31206,Devon and Cornwall,SX3240096600,232400,96600,1,26/06/1993,26/06/1993
5844,Lincolnshire and Northamptonshire,TF2390077100,523900,377100,13,10/09/1985,12/06/2023
8045,Lincolnshire and Northamptonshire,SK9000066000,490000,366000,2,18/02/1999,22/02/1999
3541,Wessex,ST8140668813,381406,168813,3,07/05/1999,09/10/2018
3552,Derbyshire Nottinghamshire and Leicestershire,SK1699194812,416991,394812,6,03/03/1993,26/09/2013
11570,Cumbria and Lancashire,NY5519001802,355190,501802,2,06/08/1993,13/08/1999
5869,Lincolnshire and Northamptonshire,TF1550065300,515500,365300,5,09/07/1985,13/06/2000
6696,Lincolnshire and Northamptonshire,SE9900008800,499000,408800,10,08/08/1986,26/09/2006
12668,Wessex,ST9630087600,396300,187600,2,22/06/1993,26/05/2016
32451,Cumbria and Lancashire,NY3578769703,335787,569703,6,01/04/2009,07/09/2015
48127,West Thames,SU4445762750,444457,162750,1,03/05/2013,03/05/2013
10613,Wessex,ST6670081800,366700,181800,1,21/07/1998,21/07/1998
13174,Shropshire Herefordshire Worcestershire and Gloucestershire,SO2940060300,329400,260300,4,04/08/1994,01/08/2005
70147,Yorkshire,SE0009554415,400095,454415,1,24/08/2017,24/08/2017
8678,Northumbria,NZ2830043400,428300,543400,3,26/06/2002,03/10/2003
79703,West Thames,SP4344911139,443449,211139,1,10/05/2024,10/05/2024
49404,Kent and South London,TQ8462020087,584620,120087,2,24/07/2013,16/06/2016
7441,Yorkshire,SE1142437944,411424,437944,1,30/07/2002,30/07/2002
3559,Derbyshire Nottinghamshire and Leicestershire,SK3459551636,434595,351636,3,05/05/1993,18/05/2005
18956,Northumbria,NZ0980097200,409800,597200,1,28/08/1993,28/08/1993
28243,Northumbria,NZ1720386165,417203,586165,11,17/08/2007,07/07/2023
13678,Cambridgeshire and Bedfordshire,TL5012972041,550129,272041,2,28/10/2004,03/11/2005
11260,Hertfordshire and North London,TL3172213139,531722,213139,3,04/11/1993,18/08/2011
11513,Cumbria and Lancashire,SD2852693158,328526,493158,5,22/09/1993,08/09/2021
21526,Greater Manchester Merseyside and Cheshire,SJ5794876010,357948,376010,5,26/06/2006,10/06/2015
26182,Essex Norfolk and Suffolk,TG1016303132,610163,303132,1,15/03/2007,15/03/2007
